dst_port,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,bwd_urg_flags,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_header_len,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,init_bwd_win_byts,active_mean,active_std,active_min,idle_mean,idle_std,idle_max,idle_min
443,386911.15379333496,12,13,5244,6436,1292.0,85.0,437.0,487.1794672739537,1242.0,65.0,495.0769230769231,468.8861534019436,30187.808972389474,64.61431714980623,16121.29807472229,25808.8429693261,88551.99813842773,0.0,386911.15379333496,35173.741253939545,40308.207518484785,94109.05838012695,92.98324584960938,310297.01232910156,25858.084360758465,40091.10472797289,121540.06958007812,0.0,0,0,0,31.014872231906992,33.59944491789924,65,1292,467.2,478.6346414542098,229091.12,1,0,0,0,0,0,0,1.0833333333333333,467.2,437.0,495.0769230769231,96,3103.0,4.0,2280120.0616678344,2495.0,4.0,997358.9211341435,12,5244,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,273447.03674316406,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,592.4364803124892,10.97104593171276,136723.51837158203,136480.33142089844,273203.84979248047,243.18695068359375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.314030621141841,3.6570153105709204,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0.5,54.0,54.0,54.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,108,1,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,277261.97242736816,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,584.2849583075721,10.820091820510594,138630.98621368408,138496.0412979126,277127.0275115967,134.94491577148438,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.213394547007062,3.606697273503531,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0.5,54.0,54.0,54.0,40,0.0,0.0,0.0,0.0,0.0,0.0,2,108,1,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5222,344119.7872161865,2,2,260,147,206.0,54.0,130.0,76.0,93.0,54.0,73.5,19.5,1182.7276870432045,11.623859332119947,114706.59573872884,84795.55893755458,234616.04118347168,53438.90190124512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.8119296660599735,5.8119296660599735,54,206,101.75,62.25903548883487,3876.1875,1,0,0,0,0,0,0,1.0,101.75,130.0,73.5,40,0.0,0.0,0.0,0.0,0.0,0.0,2,260,2,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,312128.06701660156,8,9,1561,3064,606.0,54.0,195.125,232.28077702427294,1334.0,54.0,340.44444444444446,446.19878756524133,14817.635735891718,54.464823245439824,19508.004188537598,31824.527896961852,103334.90371704102,0.0,282824.0394592285,40403.434208461214,58515.00968773294,170310.02044677734,178.0986785888672,241050.95863342285,30131.369829177856,36139.95191830161,103930.95016479492,0.0,0,0,0,25.630505056677563,28.83431818876226,54,1334,272.05882352941177,368.85474115050243,136053.82006920417,1,0,0,0,0,0,0,1.125,272.05882352941177,195.125,340.44444444444446,160,0.0,0.0,0.0,0.0,0.0,0.0,8,1561,9,16380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,246122.1218109131,8,10,1574,2400,619.0,54.0,196.75,235.1769280775646,1334.0,54.0,240.0,374.7930095399326,16146.455957555427,73.13442557523847,14477.771871230181,21117.398843677536,65304.99458312988,0.0,203221.08268737793,29031.58324105399,36700.083033768016,103847.02682495117,125.885009765625,200429.20112609863,22269.91123623318,23218.605184806816,65304.99458312988,0.0,0,0,0,32.50418914455043,40.630236430688036,54,1334,220.77777777777777,321.0639527078602,103082.06172839509,1,0,0,0,0,0,0,1.25,220.77777777777777,196.75,240.0,160,0.0,0.0,0.0,0.0,0.0,0.0,8,1574,10,16380,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,14946301.937103271,2,3,138,199,83.0,55.0,69.0,14.0,79.0,54.0,66.33333333333333,10.208928554075703,22.54738338741962,0.33453091079257596,3736575.484275818,6137983.8976668855,14365896.940231323,494.95697021484375,0,0.0,0.0,0.0,0.0,14645675.897598267,7322837.948799133,7043058.99143219,14365896.940231323,279778.95736694336,0,0,0,0.1338123643170304,0.20071854647554557,54,83,67.4,11.943198901466893,142.64,1,0,0,0,0,0,0,1.5,67.4,69.0,66.33333333333333,40,0.0,0.0,0.0,0.0,0.0,0.0,2,138,3,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4069250.1068115234,3,3,281,795,101.0,79.0,93.66666666666667,10.370899457402697,308.0,180.0,265.0,60.10546286874985,264.42218388073076,1.4744731443163426,813850.0213623047,1125287.6632891733,2895839.9295806885,3554.821014404297,2945356.1305999756,1472678.0652999878,1427503.9434432983,2900182.008743286,45174.12185668945,4064908.027648926,2032454.013824463,912114.8586273193,2944568.872451782,1120339.1551971436,0,0,0,0.7372365721581713,0.7372365721581713,79,308,179.33333333333334,95.91083822430544,9198.888888888889,1,0,0,0,0,0,0,1.0,179.33333333333334,93.66666666666667,265.0,24,0.0,0.0,0.0,0.0,0.0,0.0,3,281,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
